interconnectorId,interconnectorName,flow_band_mw,observations,duration_hours,duration_share_pct
INTIFA2,IFA2 (INTIFA2),export_gt_1500_mw,1,0.5,0.001141370100668843
INTIFA2,IFA2 (INTIFA2),export_1000_1500_mw,7299,3649.5,8.330860364781884
INTIFA2,IFA2 (INTIFA2),export_500_1000_mw,6107,3053.5,6.970347204784623
INTIFA2,IFA2 (INTIFA2),export_250_500_mw,3020,1510.0,3.4469377040199056
INTIFA2,IFA2 (INTIFA2),export_50_250_mw,2868,1434.0,3.2734494487182415
INTIFA2,IFA2 (INTIFA2),near_zero_abs_le_50_mw,15251,7625.5,17.407035405300523
INTIFA2,IFA2 (INTIFA2),import_50_250_mw,3767,1883.5,4.299541169219531
INTIFA2,IFA2 (INTIFA2),import_250_500_mw,5420,2710.0,6.186225945625128
INTIFA2,IFA2 (INTIFA2),import_500_1000_mw,43873,21936.5,50.07533042664415
INTIFA2,IFA2 (INTIFA2),import_1000_1500_mw,8,4.0,0.009130960805350743
