interconnectorId,interconnectorName,import_gwh,export_gwh,net_gwh,abs_flow_gwh,mean_signed_mw
INTELEC,Eleclink (INTELEC),19994.760000000002,4559.460999999999,15435.299,24554.221,429.36657486995466
INTEW,Ireland(East-West),1704.653,8175.011,-6470.358,9879.664,-147.70146323646907
INTFR,France(IFA),38293.226,6885.987000000001,31407.239,45179.213,716.9456707832081
INTGRNL,Ireland (Greenlink),359.125,4554.800000000001,-4195.675000000001,4913.925000000001,-338.1699846860643
INTIFA2,IFA2 (INTIFA2),21267.186,6879.805,14387.381,28146.991,328.42653000661994
INTIRL,Northern Ireland(Moyle),2328.67,10298.589,-7969.919,12627.259,-181.93254502705048
INTNED,Netherlands(BritNed),19286.625,9066.783000000001,10219.842,28353.408000000003,233.29244184719337
INTNEM,Belgium (Nemolink),21444.427000000003,7147.258000000001,14297.168999999998,28591.685,326.3672244161892
INTNSL,North Sea Link (INTNSL),37339.77,4154.289,33185.481,41494.059,798.1884019626708
INTVKL,Denmark (Viking link),12030.518,4868.775,7161.743,16899.293,326.4984271711876
